p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
1,0,0,1,0,2,24,-87720.21880831823,-87605.94411084826,False,67.300475,
1,0,0,2,0,0,24,-87732.98264781866,-87625.85011894057,False,59.473302200000035,
1,0,0,2,0,1,24,-87871.8417533892,-87757.56705591924,False,77.83821049999824,
1,0,0,2,0,2,24,-88136.05739524093,-88014.64052917909,False,70.45415169999978,
1,0,1,0,0,0,24,-86886.34506974569,-86786.35470945947,False,2.8403676000016276,
1,0,1,0,0,1,24,-87355.66986287538,-87248.53733399729,False,19.238290099998267,
1,0,1,0,0,2,24,-87494.08873535335,-87379.81403788338,False,73.03822880000007,
1,0,1,1,0,0,24,-87513.67962055233,-87406.54709167423,False,15.708832000000257,
1,0,1,1,0,1,24,-87797.4491792169,-87683.17448174693,False,19.92514630000005,
1,0,1,1,0,2,24,-87759.12153285163,-87637.70466678978,False,70.94115600000077,
1,0,1,2,0,0,24,-87769.31211662538,-87655.03741915541,False,65.60031700000036,
1,0,1,2,0,1,24,-87901.0609343657,-87779.64406830385,False,86.60879760000171,
1,0,1,2,0,2,24,-88158.53472366839,-88029.97568901468,False,86.11731059999875,
1,0,2,0,0,0,24,-86887.62586591492,-86780.49333703682,False,3.528081500000553,
1,0,2,0,0,1,24,-87356.96968890156,-87242.69499143159,False,22.182135199996992,
1,0,2,0,0,2,24,-87495.21129701663,-87373.79443095479,False,88.68213850000029,
1,0,2,1,0,0,24,-87514.8805110741,-87400.60581360412,False,17.002452100001392,
1,0,2,1,0,1,24,-87798.58530049963,-87677.16843443779,False,25.127962999999,
1,0,2,1,0,2,24,-87760.26967754061,-87631.7106428869,False,85.72580910000033,
1,0,2,2,0,0,24,-87770.24615008285,-87648.829284021,False,71.10707470000125,
1,0,2,2,0,1,24,-87902.051998813,-87773.49296415929,False,76.68438590000005,
1,0,2,2,0,2,24,-88159.42867365573,-88023.72747041014,False,90.5466121999998,
1,0,3,0,0,0,24,-86976.52361144444,-86862.24891397447,False,4.128914699998859,
1,0,3,0,0,1,24,-87438.89333787077,-87317.47647180893,False,21.53120889999991,
1,0,3,0,0,2,24,-87573.23472810251,-87444.67569344881,False,85.92154030000165,
1,0,3,1,0,0,24,-87592.17354194826,-87470.75667588641,False,17.267385200000717,
