p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
3,0,0,1,0,0,24,-93591.77316153349,-93463.10462229956,False,33.14007319999655,
3,0,0,1,0,1,24,-93588.42996899917,-93452.61317758558,False,34.935364999997546,
3,0,0,1,0,2,24,-93628.0106576935,-93485.04561410025,False,118.09047410000494,
3,0,0,2,0,0,24,-93647.02488253404,-93511.20809112044,False,127.68138760000147,
3,0,0,2,0,1,24,-93639.15754404789,-93496.19250045464,False,134.80783490000613,
3,0,0,2,0,2,24,-93666.47998664752,-93516.36669087461,False,142.08107530000416,
3,0,1,0,0,0,24,-93501.54903298113,-93372.8804937472,False,14.125698399999237,
3,0,1,0,0,1,24,-93580.67531614265,-93444.85852472905,False,29.967539600002056,
3,0,1,0,0,2,24,-93621.02566219823,-93478.06061860497,False,120.89669329999742,
3,0,1,1,0,0,24,-93589.75081828801,-93453.93402687441,False,34.78565890000027,
3,0,1,1,0,1,24,-93586.39141051864,-93443.42636692539,False,36.47146669999347,
3,0,1,1,0,2,24,-93626.09525129503,-93475.98195552212,False,126.8085551999975,
3,0,1,2,0,0,24,-93645.18019659392,-93502.21515300067,False,135.1588308000064,
3,0,1,2,0,1,24,-93637.26704163736,-93487.15374586445,False,143.3817227000036,
3,0,1,2,0,2,24,-93664.52132862371,-93507.25978067113,False,148.45587389999855,
3,0,2,0,0,0,24,-92954.09618634958,-92818.27939493598,False,5.930303199995251,
3,0,2,0,0,1,24,-93006.06196491077,-92863.09692131751,False,36.16986760000145,
3,0,2,0,0,2,24,-93053.54706241291,-92903.43376664,False,141.8211100999979,
3,0,2,1,0,0,24,-93016.94226060319,-92873.97721700993,False,36.382668999998714,
3,0,2,1,0,1,24,-93012.44023289572,-92862.32693712281,False,38.861424499998975,
3,0,2,1,0,2,24,-93060.3171079282,-92903.05555997562,False,147.5175698000021,
3,0,2,2,0,0,24,-93083.53747951597,-92933.42418374306,False,140.61377080000238,
3,0,2,2,0,1,24,-93070.4530277616,-92913.19147980901,False,147.95998580000014,
3,0,2,2,0,2,24,-93100.2276822023,-92935.81788207006,False,154.91130550000526,
3,0,3,0,0,0,24,-93496.85956877185,-93353.89452517859,False,15.983364200001233,
3,0,3,0,0,1,24,-93576.15734157956,-93426.04404580664,False,35.84199909999734,
3,0,3,0,0,2,24,-93616.41958156302,-93459.15803361044,False,139.09875669999747,
3,0,3,1,0,0,24,-93585.21560945032,-93435.1023136774,False,38.018274900001416,
3,0,3,1,0,1,24,-93581.86457680601,-93424.60302885342,False,37.98918319999939,
3,0,3,1,0,2,24,-93621.48296823577,-93457.07316810352,False,144.36443049999798,
3,0,3,2,0,0,24,-93640.52241978342,-93483.26087183083,False,147.97793709999678,
3,0,3,2,0,1,24,-93632.6358077918,-93468.22600765956,False,152.86128499999904,
3,0,3,2,0,2,24,-93659.90875696563,-93488.35070465371,False,154.7438503000012,
