p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
2,0,3,0,0,0,24,-90070.50567379661,-89949.40660833438,True,16.416972999926656,
2,0,3,0,0,1,24,-90566.94524693902,-90438.72270703784,False,23.27806459995918,
2,0,3,0,0,2,24,-90959.85536605406,-90824.50935171393,False,97.23406710010022,
2,0,3,1,0,0,24,-90828.15315693837,-90699.93061703719,False,21.452595999930054,
2,0,3,1,0,1,24,-90963.9836653602,-90828.63765102006,False,24.911114000016823,
2,0,3,1,0,2,24,-91152.79510761415,-91010.32561883505,False,107.29337919992395,
2,0,3,2,0,0,24,-91476.54548652998,-91341.19947218985,False,94.09775949991308,
2,0,3,2,0,1,24,-91506.48176681239,-91364.01227803329,False,96.56454920000397,
2,0,3,2,0,2,24,-91594.70541068315,-91445.1124474651,False,106.38729909993708,
3,0,0,0,0,0,24,-89722.40986559438,-89615.55774901007,False,3.3675965999718755,
3,0,0,0,0,1,24,-90506.94927884443,-90392.97368782116,False,22.494595000054687,
3,0,0,0,0,2,24,-90837.58180883415,-90716.48274337192,False,108.80024889996275,
3,0,0,1,0,0,24,-90892.12205099847,-90778.14645997519,False,21.69873489998281,
3,0,0,1,0,1,24,-90912.56994411646,-90791.47087865423,False,28.219698400003836,
3,0,0,1,0,2,24,-91041.53558446022,-90913.31304455904,False,109.7442620000802,
3,0,0,2,0,0,24,-91474.57276303275,-91353.47369757052,False,94.21613109996542,
3,0,0,2,0,1,24,-91484.70756943365,-91356.48502953247,False,108.08896859991364,
3,0,0,2,0,2,24,-91494.16774969523,-91358.8217353551,False,111.21125279995613,
3,0,1,0,0,0,24,-89682.85671682082,-89568.88112579755,False,3.6012263000011444,
3,0,1,0,0,1,24,-90472.54701952786,-90351.44795406563,False,21.645157399820164,
3,0,1,0,0,2,24,-90804.6378535353,-90676.41531363412,False,97.70455909986049,
3,0,1,1,0,0,24,-90860.23021643201,-90739.13115096978,False,22.522889700019732,
3,0,1,1,0,1,24,-90879.88943362974,-90751.66689372856,False,25.991781200049445,
3,0,1,1,0,2,24,-91008.96049084669,-90873.61447650655,False,101.3802256998606,
3,0,1,2,0,0,24,-91444.66767043128,-91316.4451305301,False,98.34393210010603,
3,0,1,2,0,1,24,-91454.59458613479,-91319.24857179465,False,107.6383217999246,
3,0,1,2,0,2,24,-91462.31426131893,-91319.84477253983,False,109.58282670006156,
3,0,2,0,0,0,24,429502.87044449116,429623.9695099534,False,9.203258800087497,
3,0,2,0,0,1,24,371539.01886691945,371667.24140682066,False,59.58685700013302,
3,0,2,0,0,2,24,381408.7935949175,381544.13960925763,False,237.52935139997862,
3,0,2,1,0,0,24,356096.54716595693,356224.76970585814,False,68.59404479991645,
3,0,2,1,0,1,24,369266.8794356583,369402.2254499984,False,61.89879729994573,
3,0,2,1,0,2,24,382726.27860363235,382868.74809241144,False,272.41322360001504,
3,0,2,2,0,0,24,388947.90462705935,389083.25064139947,False,253.03918389999308,
3,0,2,2,0,1,24,392337.43941936805,392479.90890814713,False,257.9091894000303,
3,0,2,2,0,2,24,393235.8605161223,393385.45347934036,False,275.8804411001038,
3,0,3,0,0,0,24,-33859.19582121141,-33730.97328131023,False,10.385326199932024,
3,0,3,0,0,1,24,-38829.72558158305,-38694.37956724291,False,57.96071489993483,
3,0,3,0,0,2,24,-37385.4150690485,-37242.94558026941,False,234.4050843999721,
3,0,3,1,0,0,24,-39666.95653410352,-39531.61051976338,False,61.386562400031835,
3,0,3,1,0,1,24,-38987.84472944777,-38845.375240668676,False,60.65463850018568,
3,0,3,1,0,2,24,-37756.36024960428,-37606.76728638624,True,169.099207600113,
3,0,3,2,0,0,24,-35970.01150755951,-35827.54201878042,False,1810.8663822999224,
3,0,3,2,0,1,24,-35836.820974225324,-35687.22801100728,False,1871.2308277001139,
3,0,3,2,0,2,24,-37852.44966387026,-37695.73322621326,False,1829.7858794999775,
