p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
2,1,0,1,1,1,24,-97516.08286305511,-97401.85104495904,True,256.36973050000233,
2,1,0,1,1,2,24,-99096.88999225324,-98975.51868552617,True,351.0504110999973,
2,1,0,2,1,0,24,-97350.81705739345,-97236.58523929738,False,621.814985099998,
2,1,0,2,1,1,24,-97692.87460816969,-97571.50330144262,True,2101.232458300001,
2,1,0,2,1,2,24,-98448.61032859878,-98320.0995332407,False,670.0112846999982,
2,1,1,0,1,0,24,-94953.43742489073,-94846.34509542567,False,83.42572719999589,
2,1,1,0,1,1,24,-98844.62388037628,-98730.39206228021,True,206.99050089999946,
2,1,1,0,1,2,24,-99565.44655971142,-99444.07525298434,True,381.81150250000064,
2,1,1,1,1,0,24,-96877.20214359276,-96762.97032549669,True,142.5611749000018,
2,1,1,1,1,1,24,-98033.759651011,-97912.38834428393,True,167.42806550000387,
2,1,1,1,1,2,24,-99509.3420450659,-99380.83124970783,True,761.4158327000041,
2,1,1,2,1,0,24,-97877.38145705145,-97756.01015032438,True,622.3778787999909,
2,1,1,2,1,1,24,-98223.77617598358,-98095.26538062551,False,1208.2100059999939,
2,1,1,2,1,2,24,-98921.74524816904,-98786.09496417997,True,447.9743945999944,
2,1,2,0,1,0,24,-94951.49680353134,-94837.26498543526,True,61.04680070000177,
2,1,2,0,1,1,24,-98851.51539275747,-98730.1440860304,False,299.2716436999908,
2,1,2,0,1,2,24,-99548.2055710204,-99419.69477566233,True,391.23939409999,
2,1,2,1,1,0,24,-96896.60063638918,-96775.2293296621,False,253.4285319000046,
2,1,2,1,1,1,24,-98048.86189519532,-97920.35109983725,True,169.31195930000104,
2,1,2,1,1,2,24,-99512.0649763119,-99376.41469232283,True,565.7943404999969,
2,1,2,2,1,0,24,-97872.10626969233,-97743.59547433426,False,607.0230171000003,
2,1,2,2,1,1,24,-98230.84683835364,-98095.19655436456,False,1072.844352199987,
2,1,2,2,1,2,24,-98922.58926593352,-98779.79949331343,True,421.7731953999901,
2,1,3,0,1,0,24,-88877.01574620212,-88755.64443947504,True,72.1595057000086,
2,1,3,0,1,1,24,-92524.25434559629,-92395.74355023821,False,259.3787095000007,
2,1,3,0,1,2,24,-93519.31783329812,-93383.66754930904,True,719.2637838999945,
2,1,3,1,1,0,24,-90498.40414024395,-90369.89334488587,True,121.76902669999981,
2,1,3,1,1,1,24,-91561.86676201722,-91426.21647802815,True,195.94931930000894,
2,1,3,1,1,2,24,-93362.5715117015,-93219.78173908142,True,1335.1366990000097,
2,1,3,2,1,0,24,-91534.00228008332,-91398.35199609425,True,381.00032510000165,
2,1,3,2,1,1,24,-91816.98229909048,-91674.19252647039,False,1148.8183206000103,
2,1,3,2,1,2,24,-92654.49861673944,-92504.56935548835,False,723.3234990999917,
3,1,0,0,1,0,24,-94919.496377767,-94812.40404830195,True,27.820144600002095,
3,1,0,0,1,1,24,-98755.95993310188,-98641.72811500581,True,143.43165240000235,
3,1,0,0,1,2,24,-99505.76883699828,-99384.3975302712,False,561.6577292000002,
3,1,0,1,1,0,24,-96785.40819452275,-96671.17637642668,False,271.8577164999879,
3,1,0,1,1,1,24,-97919.27229976302,-97797.90099303595,True,157.33110280000255,
3,1,0,1,1,2,24,-99450.80008315355,-99322.28928779547,True,472.18622510001296,
3,1,0,2,1,0,24,-97774.94124968337,-97653.5699429563,True,364.6773533999949,
3,1,0,2,1,1,24,-98105.0982086308,-97976.58741327273,True,572.1307726000086,
3,1,0,2,1,2,24,-98835.76822680219,-98700.11794281311,False,691.8587192999985,
3,1,1,0,1,0,24,-94979.66975405748,-94865.43793596141,True,28.404869599995436,
3,1,1,0,1,1,24,-98861.56672175994,-98740.19541503287,False,275.54802129999734,
3,1,1,0,1,2,24,-99575.89688642597,-99447.38609106789,False,643.100628500004,
3,1,1,1,1,0,24,-96911.43637425269,-96790.06506752562,True,154.62887309999496,
3,1,1,1,1,1,24,-98049.63757742108,-97921.126782063,False,233.36952290000045,
3,1,1,1,1,2,24,-99531.19697060264,-99395.54668661357,True,614.008779900003,
3,1,1,2,1,0,24,-97894.68276106793,-97766.17196570986,True,409.8726549999992,
3,1,1,2,1,1,24,-98253.41354006191,-98117.76325607284,True,1264.3942264999932,
3,1,1,2,1,2,24,-98942.5178762028,-98799.7281035827,True,448.65492080000695,
3,1,2,0,1,0,24,-94985.21953450091,-94863.84822777384,False,57.99702599999728,
3,1,2,0,1,1,24,-98862.37000203638,-98733.8592066783,True,172.24506909999764,
3,1,2,0,1,2,24,-99565.60357178503,-99429.95328779596,False,644.4992110000021,
3,1,2,1,1,0,24,-96899.03483581699,-96770.52404045891,False,257.837638099998,
3,1,2,1,1,1,24,-98051.41005145921,-97915.75976747014,True,434.8131248999998,
3,1,2,1,1,2,24,-99528.56838810231,-99385.77861548222,False,750.770516500008,
3,1,2,2,1,0,24,-97888.39833246425,-97752.74804847517,False,1312.1673379999993,
3,1,2,2,1,1,24,-98243.68778057108,-98100.898007951,True,803.7254467000021,
3,1,2,2,1,2,24,-98934.67783186167,-98784.74857061058,True,546.4678150000109,
3,1,3,0,1,0,24,-88875.01357268471,-88746.50277732663,False,83.36302579999028,
3,1,3,0,1,1,24,-92522.20453476734,-92386.55425077827,False,275.35302290000254,
3,1,3,0,1,2,24,-93517.28828939213,-93374.49851677204,True,871.0332350999961,
3,1,3,1,1,0,24,-90496.40882623359,-90360.75854224451,True,130.0876513999974,
3,1,3,1,1,1,24,-91559.86145859933,-91417.07168597924,True,214.71465680000256,
3,1,3,1,1,2,24,-93359.26226702658,-93209.3330057755,True,1581.8363210000098,
3,1,3,2,1,0,24,-91531.9800046305,-91389.19023201041,False,665.9521920999978,
3,1,3,2,1,1,24,-91814.9770999033,-91665.04783865222,False,1181.6704457000014,
3,1,3,2,1,2,24,-92652.41930877193,-92495.35055888984,True,479.74991109999246,
