timestamp,device,property,value,temp_C,humidity,pressure
2026-01-13 02:12:35,Aircon,NO_DATA,,,,
2026-01-13 02:15:15,Aircon,NO_DATA,,,,
2026-01-13 02:13:35,Aircon,NO_DATA,,,,
2026-01-13 02:19:07,Electric_Fan,NO_DATA,,,,
2026-01-13 02:18:43,Electric_Fan,NO_DATA,,,,
2026-01-13 02:19:11,Electric_Fan,NO_DATA,,,,
2026-01-13 02:19:04,Aircon,NO_DATA,,,,
2026-01-13 02:22:22,Aircon,NO_DATA,,,,
2026-01-13 02:19:04,Refrigerator,NO_DATA,,,,
2026-01-13 02:12:35,Refrigerator,NO_DATA,,,,
2026-01-13 02:15:15,Refrigerator,NO_DATA,,,,
2026-01-13 02:19:18,Electric_Fan,NO_DATA,,,,
2026-01-13 02:13:35,Refrigerator,NO_DATA,,,,
2026-01-13 02:12:35,Electric_Fan,NO_DATA,,,,
2026-01-13 02:15:15,Electric_Fan,NO_DATA,,,,
2026-01-13 02:22:22,Refrigerator,NO_DATA,,,,
2026-01-13 02:19:04,Electric_Fan,NO_DATA,,,,
2026-01-13 02:24:46,Aircon,NO_DATA,,,,
2026-01-13 02:26:44,Aircon,NO_DATA,,,,
2026-01-13 02:13:35,Electric_Fan,NO_DATA,,,,
2026-01-13 02:22:22,Electric_Fan,NO_DATA,,,,
2026-01-13 02:24:46,Refrigerator,NO_DATA,,,,
2026-01-13 02:26:44,Refrigerator,NO_DATA,,,,
2026-01-13 02:30:14,Aircon,NO_DATA,,28.37,72,1014
2026-01-13 02:30:11,Aircon,NO_DATA,,28.37,72,1014
2026-01-13 02:24:46,Electric_Fan,NO_DATA,,,,
2026-01-13 02:30:11,Aircon,NO_DATA,,28.37,72,1014
2026-01-13 02:26:44,Electric_Fan,NO_DATA,,,,
2026-01-13 02:34:37,Aircon,NO_DATA,,,,
2026-01-13 02:34:37,Aircon,NO_DATA,,,,
2026-01-13 02:30:14,Refrigerator,NO_DATA,,28.37,72,1014
2026-01-13 02:34:37,Refrigerator,NO_DATA,,,,
2026-01-13 02:34:37,Refrigerator,NO_DATA,,,,
2026-01-13 02:30:14,Electric_Fan,NO_DATA,,28.37,72,1014
2026-01-13 02:30:11,Refrigerator,NO_DATA,,28.37,72,1014
2026-01-13 02:34:37,Electric_Fan,NO_DATA,,,,
2026-01-13 02:34:37,Electric_Fan,NO_DATA,,,,
2026-01-13 02:30:11,Refrigerator,NO_DATA,,28.37,72,1014
2026-01-13 02:30:11,Electric_Fan,NO_DATA,,28.37,72,1014
2026-01-13 02:33:25,Aircon,NO_DATA,,,,
2026-01-13 02:30:11,Electric_Fan,NO_DATA,,28.37,72,1014
2026-01-13 02:38:39,Aircon,NO_DATA,,28.28,72,1014
2026-01-13 02:38:39,Aircon,NO_DATA,,28.28,72,1014
2026-01-13 02:38:39,Aircon,NO_DATA,,28.28,72,1014
2026-01-13 02:38:39,Aircon,NO_DATA,,28.28,72,1014
2026-01-13 02:33:25,Refrigerator,NO_DATA,,,,
2026-01-13 02:38:39,Refrigerator,NO_DATA,,28.28,72,1014
2026-01-13 02:38:39,Refrigerator,NO_DATA,,28.28,72,1014
2026-01-13 02:38:39,Refrigerator,NO_DATA,,28.28,72,1014
2026-01-13 02:38:39,Refrigerator,NO_DATA,,28.28,72,1014
2026-01-13 02:38:43,Aircon,NO_DATA,,28.28,72,1014
2026-01-13 02:38:39,Electric_Fan,NO_DATA,,28.28,72,1014
2026-01-13 02:38:39,Electric_Fan,NO_DATA,,28.28,72,1014
