device_id,timestamp,kWh,temperature,humidity,pressure,hour_of_day,day_of_week,is_weekend,is_holiday,lag_24,lag_168,rolling_mean_24,rolling_mean_168
a3c772d3fde52dbae832bi,2026-01-21 14:00:00,0.014986919373193675,28.797785714285716,71.36428571428571,1015.9285714285714,14,3,0,0,0.0162380416666664,0.0151873499999997,0.0229967684027775,0.0199452513392855
a3c772d3fde52dbae832bi,2026-01-21 15:00:00,0.01276488961201741,28.79954642857143,71.33107142857143,1015.9321428571428,15,3,0,0,0.0137099916666664,0.0129262333333331,0.0231441624999997,0.0199709728670633
a3c772d3fde52dbae832bi,2026-01-21 16:00:00,0.014372313165891253,28.801307142857144,71.29785714285714,1015.9357142857144,16,3,0,0,0.0230142999999999,0.0157498666666663,0.0229943725694441,0.0199928149801585
a3c772d3fde52dbae832bi,2026-01-21 17:00:00,0.005950551528615556,28.803067857142857,71.26464285714286,1015.9392857142856,17,3,0,0,0.0096711999999998,0.0064857999999997,0.0229264128472219,0.0200020671626982
a3c772d3fde52dbae832bi,2026-01-21 18:00:00,0.005814865977290489,28.804828571428573,71.23142857142857,1015.9428571428572,18,3,0,0,0.0095623583333332,0.0063429416666665,0.0228553493055552,0.0200110784226188
a3c772d3fde52dbae832bi,2026-01-21 19:00:00,0.005795364263050027,28.806589285714285,71.19821428571429,1015.9464285714286,19,3,0,0,0.0094426416666666,0.0062759916666666,0.0227881760416663,0.0200203313492061
a3c772d3fde52dbae832bi,2026-01-21 20:00:00,0.006482290869208711,28.80835,71.165,1015.95,20,3,0,0,0.0104095499999997,0.0073409333333332,0.0227193878472219,0.0200287700396823
a3c772d3fde52dbae832bi,2026-01-21 21:00:00,0.013987946836612558,28.810110714285713,71.13178571428571,1015.9535714285714,21,3,0,0,0.0204999999999996,0.0171,0.0226527211805552,0.0200394843253966
a3c772d3fde52dbae832bi,2026-01-21 22:00:00,0.013987946836612558,28.81187142857143,71.09857142857143,1015.9571428571428,22,3,0,0,0.0204999999999996,0.0171,0.0225860545138886,0.0200501986111109
a3c772d3fde52dbae832bi,2026-01-21 23:00:00,0.013987946836612558,28.81363214285714,71.06535714285714,1015.9607142857144,23,3,0,0,0.0204999999999996,0.0171,0.022519387847222,0.0200609128968252
a3c772d3fde52dbae832bi,2026-01-22 00:00:00,0.010964408215975533,28.815392857142857,71.03214285714286,1015.9642857142856,0,4,0,0,0.017083333333333,0.01425,0.0224638322916664,0.0200698414682537
a3c772d3fde52dbae832bi,2026-01-22 01:00:00,0.010964408215975533,28.817153571428573,70.99892857142856,1015.9678571428572,1,4,0,0,0.017083333333333,0.01425,0.0224082767361109,0.0200787700396823
a3c772d3fde52dbae832bi,2026-01-22 02:00:00,0.013157289859170638,28.818914285714285,70.96571428571428,1015.9714285714284,2,4,0,0,0.0204999999999996,0.0171,0.0223416100694442,0.0200894843253966
a3c772d3fde52dbae832bi,2026-01-22 03:00:00,0.013157289859170638,28.820675,70.9325,1015.975,3,4,0,0,0.0204999999999996,0.0171,0.0222749434027776,0.0201001986111109
a3c772d3fde52dbae832bi,2026-01-22 04:00:00,0.013157289859170638,28.822435714285714,70.89928571428571,1015.9785714285714,4,4,0,0,0.0204999999999996,0.0171,0.0222082767361109,0.0201109128968252
a3c772d3fde52dbae832bi,2026-01-22 05:00:00,0.0022886084685769946,28.82419642857143,70.86607142857143,1015.9821428571428,5,4,0,0,0.0037864333333333,0.0028104,0.0221874881944443,0.0201137528273807
a3c772d3fde52dbae832bi,2026-01-22 06:00:00,0.012649759585528718,28.825957142857145,70.83285714285714,1015.9857142857144,6,4,0,0,0.0220481916666665,0.0148145333333329,0.0220259364583331,0.0201337314980156
a3c772d3fde52dbae832bi,2026-01-22 07:00:00,0.021168269385858723,28.827717857142854,70.79964285714286,1015.9892857142858,7,4,0,0,0.0368694499999998,0.0248801333333331,0.0217566885416665,0.0201666324900791
a3c772d3fde52dbae832bi,2026-01-22 08:00:00,0.027178052971083128,28.82947857142857,70.76642857142858,1015.9928571428572,8,4,0,0,0.0473579833333328,0.0319385749999997,0.0214101204861109,0.0202089049603172
a3c772d3fde52dbae832bi,2026-01-22 09:00:00,0.025655392534867736,28.83123928571429,70.73321428571428,1015.9964285714286,9,4,0,0,0.0446949833333333,0.0301314666666665,0.021083375347222,0.0202489146825395
a3c772d3fde52dbae832bi,2026-01-22 10:00:00,0.021152727772308144,28.833,70.7,1016.0,10,4,0,0,0.0368591916666665,0.0248360749999999,0.0208136246527776,0.0202819450396823
a3c772d3fde52dbae832bi,2026-01-22 11:00:00,0.019458964555181597,28.83476071428571,70.66678571428571,1016.0035714285714,11,4,0,0,0.0338714249999997,0.0228453249999997,0.020566987847222,0.0203123427579363
a3c772d3fde52dbae832bi,2026-01-22 12:00:00,0.023929339425608664,28.83652142857143,70.63357142857143,1016.0071428571428,12,4,0,0,0.0416703499999996,0.0281028083333331,0.0202629600694443,0.020349669394841
a3c772d3fde52dbae832bi,2026-01-22 13:00:00,0.018171052678997632,28.838282142857143,70.60035714285715,1016.0107142857142,13,4,0,0,0.0315379499999998,0.0213198333333331,0.0200364663194443,0.0203781352678569
a3c772d3fde52dbae832bi,2026-01-22 14:00:00,0.011636590253630789,28.84004285714286,70.56714285714285,1016.0142857142856,14,4,0,0,0.0202497749999996,0.0136398916666665,0.0198892076388887,0.0203964428571426
a3c772d3fde52dbae832bi,2026-01-22 15:00:00,0.009877028984659992,28.84180357142857,70.53392857142858,1016.0178571428572,15,4,0,0,0.0172474499999997,0.0115875166666664,0.0197617312499998,0.0204119220238093
a3c772d3fde52dbae832bi,2026-01-22 16:00:00,0.0133463533849687,28.843564285714287,70.50071428571428,1016.0214285714286,16,4,0,0,0.0194193416666664,0.0156545749999997,0.0197514079861109,0.020432856597222
a3c772d3fde52dbae832bi,2026-01-22 17:00:00,0.005597185362400616,28.845325,70.4675,1016.025,17,4,0,0,0.0080401666666664,0.0064857999999997,0.0197514079861109,0.0204421087797617
a3c772d3fde52dbae832bi,2026-01-22 18:00:00,0.005469557330257078,28.847085714285715,70.4342857142857,1016.0285714285716,18,4,0,0,0.0078568333333332,0.0063429416666665,0.0197514079861109,0.0204511200396823
a3c772d3fde52dbae832bi,2026-01-22 19:00:00,0.005451213701273525,28.848846428571427,70.40107142857143,1016.0321428571428,19,4,0,0,0.0078304833333332,0.0062759916666666,0.0197514079861109,0.0204603729662696
a3c772d3fde52dbae832bi,2026-01-22 20:00:00,0.00609734801782308,28.850607142857143,70.36785714285715,1016.0357142857144,20,4,0,0,0.008758633333333,0.0073409333333332,0.0197514079861109,0.0204688116567458
a3c772d3fde52dbae832bi,2026-01-22 21:00:00,0.013157289859170638,28.85236785714286,70.33464285714285,1016.0392857142856,21,4,0,0,0.0189,0.0171,0.0197514079861109,0.0204795259424601
a3c772d3fde52dbae832bi,2026-01-22 22:00:00,0.013157289859170638,28.85412857142857,70.30142857142857,1016.0428571428572,22,4,0,0,0.0189,0.0171,0.0197514079861109,0.0204902402281744
a3c772d3fde52dbae832bi,2026-01-22 23:00:00,0.013157289859170638,28.855889285714287,70.26821428571428,1016.0464285714286,23,4,0,0,0.0189,0.0171,0.0197514079861109,0.0205009545138887
a3c772d3fde52dbae832bi,2026-01-23 00:00:00,0.010667193167988675,28.85765,70.235,1016.05,0,5,0,0,0.01575,0.01425,0.0197514079861109,0.0205098830853172
a3c772d3fde52dbae832bi,2026-01-23 01:00:00,0.010667193167988675,28.859410714285715,70.20178571428572,1016.0535714285714,1,5,0,0,0.01575,0.01425,0.0197514079861109,0.0205188116567458
