p,d,q,P,D,Q,s,aic,bic,converged,fit_seconds,error
1,0,2,0,0,0,24,-92174.75005505254,-92067.61752617445,False,4.7301783000002615,
1,0,2,0,0,1,24,-92316.66087939288,-92202.3861819229,False,29.716298199999073,
1,0,2,0,0,2,24,-92419.2099410978,-92297.79307503595,False,115.22957119999955,
1,0,2,1,0,0,24,-92348.57109189901,-92234.29639442904,False,24.41592859999946,
1,0,2,1,0,1,24,-92356.0261675902,-92234.60930152835,False,31.311435300000085,
1,0,2,1,0,2,24,-92446.08744262494,-92317.52840797123,False,128.04647529999966,
1,0,2,2,0,0,24,-92494.99009720748,-92373.57323114564,False,98.8227253999994,
1,0,2,2,0,1,24,-92484.02918609409,-92355.47015144039,False,106.48864049999975,
1,0,2,2,0,2,24,-92548.05269485677,-92412.35149161119,True,129.41372410000076,
1,0,3,0,0,0,24,-92169.60202588199,-92055.32732841202,False,5.295013400000244,
1,0,3,0,0,1,24,-92314.49380919003,-92193.07694312818,False,29.83006960000057,
1,0,3,0,0,2,24,-92415.74968345027,-92287.19064879656,False,115.85929430000033,
1,0,3,1,0,0,24,-92346.47390333147,-92225.05703726962,False,26.22385750000103,
1,0,3,1,0,1,24,-92353.67470285002,-92225.11566819632,False,30.746826599999622,
1,0,3,1,0,2,24,-92442.75874043445,-92307.05753718887,False,128.9453964000004,
1,0,3,2,0,0,24,-92491.13416549042,-92362.57513083672,False,106.64947399999983,
1,0,3,2,0,1,24,-92480.27352805674,-92344.57232481116,False,111.46289289999913,
1,0,3,2,0,2,24,-92544.91410103194,-92402.07072919449,True,119.58614869999838,
2,0,0,0,0,0,24,-92173.48145854553,-92073.49109825931,False,4.101775800001633,
2,0,0,0,0,1,24,-92313.11289476964,-92205.98036589155,False,23.417566500000248,
2,0,0,0,0,2,24,-92418.71235382478,-92304.43765635481,False,96.4436822000007,
2,0,0,1,0,0,24,-92345.27653253629,-92238.14400365819,False,28.25916639999923,
2,0,0,1,0,1,24,-92353.02716019037,-92238.7524627204,False,32.23143449999952,
2,0,0,1,0,2,24,-92445.34578620587,-92323.92892014403,False,105.7741731999995,
2,0,0,2,0,0,24,-92495.60852816372,-92381.33383069375,False,99.08665120000114,
2,0,0,2,0,1,24,-92484.62636540076,-92363.20949933892,False,103.74708009999995,
2,0,0,2,0,2,24,-92547.28481339425,-92418.72577874054,False,109.53190929999982,
2,0,1,0,0,0,24,-92162.94443399581,-92055.81190511772,False,4.910780400001386,
2,0,1,0,0,1,24,-92310.99322479205,-92196.71852732208,False,29.858871599999475,
2,0,1,0,0,2,24,-92410.98454453087,-92289.56767846903,False,110.50085020000006,
2,0,1,1,0,0,24,-92343.0745857796,-92228.79988830963,False,26.580318700000134,
2,0,1,1,0,1,24,-92350.02245145885,-92228.605585397,False,27.68857290000051,
2,0,1,1,0,2,24,-92438.1935019796,-92309.63446732589,False,106.0643117999989,
2,0,1,2,0,0,24,-92486.16233697513,-92364.74547091329,False,100.69047419999879,
2,0,1,2,0,1,24,-92475.38009852871,-92346.821063875,False,108.17906199999925,
2,0,1,2,0,2,24,-92540.8108554671,-92405.10965222152,False,112.9368787000003,
2,0,2,0,0,0,24,-92169.5527795574,-92055.27808208743,False,5.086990300000252,
